,name,categories,display_phone,image_url,price,rating,review_count,latitude,longitude,is_closed
0,Daddy's Donuts,coffee,(206) 496-3670,https://s3-media2.fl.yelpcdn.com/bphoto/5PerLgJLB5oxYZeDbM1oGA/o.jpg,$,5.0,399,47.75804,-122.24616,False
1,Medzo Gelato Bar & Travel Cafe,coffee,(206) 935-4333,https://s3-media2.fl.yelpcdn.com/bphoto/YyhCI8NjL46gBe5Wqw_dhg/o.jpg,$,5.0,76,47.46663,-122.34667,False
2,Celine Patisserie,coffee,(206) 466-5378,https://s3-media1.fl.yelpcdn.com/bphoto/m5-AFFMYdXrkzxurIo6ziQ/o.jpg,$,5.0,123,47.678863,-122.355637,False
3,M Bakery & Deli,coffee,(253) 395-1068,https://s3-media4.fl.yelpcdn.com/bphoto/zBraJVQ2j-GQMuZ3GCrxHg/o.jpg,$,5.0,147,47.4110034,-122.2279582,False
4,Monorail Espresso,coffee,(206) 422-0736,https://s3-media2.fl.yelpcdn.com/bphoto/NQgSinclnX1pMo69cr8Ixg/o.jpg,$,4.5,464,47.6112365723,-122.3349914551,False
5,Café Besalu,coffee,(206) 789-1463,https://s3-media4.fl.yelpcdn.com/bphoto/JUlZZl68vYBKpvObTNToGg/o.jpg,$,4.5,788,47.6718213011,-122.3878208838,False
6,Storyville Coffee Company,coffee,(206) 780-5777,https://s3-media3.fl.yelpcdn.com/bphoto/nJgiyjMZ7sglAtc5wyKSLQ/o.jpg,$$,4.5,1240,47.6088847,-122.3403957,False
7,Sound & Fog,coffee,,https://s3-media3.fl.yelpcdn.com/bphoto/7slGw2nDIADvLXn2MFTzWA/o.jpg,$,5.0,114,47.560101,-122.383012,False
8,Biscuit and Bean,coffee,(206) 457-5735,https://s3-media3.fl.yelpcdn.com/bphoto/GOs9A81aksPm9U3dB4JA7A/o.jpg,$,4.5,635,47.67184,-122.37657,False
9,Mighty Mugs Coffee,coffee,(425) 440-1450,https://s3-media1.fl.yelpcdn.com/bphoto/8ARvT-kga9E0Fh-kVMSZLg/o.jpg,$,5.0,91,47.4408184523,-122.2193846852,False
10,Ghost Alley Espresso,coffee,(206) 805-0195,https://s3-media3.fl.yelpcdn.com/bphoto/1tDHIPX4Px-MARTdAONkMA/o.jpg,$,4.5,291,47.6085748,-122.3406767,False
11,Morsel,coffee,(206) 268-0154,https://s3-media2.fl.yelpcdn.com/bphoto/4FgMpZJ3ozuy24qbnNqRTQ/o.jpg,$,4.5,850,47.6646650793,-122.31296368,False
12,The Crumpet Shop,coffee,(206) 682-1598,https://s3-media3.fl.yelpcdn.com/bphoto/sg9QU7bmfsWe_JT48ciI1Q/o.jpg,$,4.5,2073,47.60899,-122.34044,False
