field_1,Unnamed: 0,name,categories,display_phone,image_url,price,rating,review_count,latitude,longitude,is_closed,neighborhood,sublocality,postal_code,NEIGHBORHO
11,11,Morsel,coffee,(206) 268-0154,https://s3-media2.fl.yelpcdn.com/bphoto/4FgMpZJ3ozuy24qbnNqRTQ/o.jpg,$,4.50000,850,47.66467,-122.31296,False,,,98105,University District
26,26,Tea Republik,coffee,(206) 497-7631,https://s3-media1.fl.yelpcdn.com/bphoto/Cpllzo5N5-ZSkzpTXMfREw/o.jpg,$,4.50000,282,47.66209,-122.31328,False,,,98105,University District
36,36,Ugly Mug Café & Coffee Roasters,coffee,(206) 547-3219,https://s3-media4.fl.yelpcdn.com/bphoto/SAFdn54mTqRWWrz8tq8a6Q/o.jpg,$,4.50000,415,47.65980,-122.31395,False,,,98105,University District
67,67,Sweet Alchemy Ice Creamery,coffee,(206) 632-0243,https://s3-media1.fl.yelpcdn.com/bphoto/ynKeZveeg2IGNtRB2YwrhQ/o.jpg,$$,4.50000,261,47.65998,-122.31337,False,,,98105,University District
68,68,Citra,coffee,(206) 327-9012,https://s3-media1.fl.yelpcdn.com/bphoto/jo-fVrNNeUNWCR64Zx4B3Q/o.jpg,$,4.50000,179,47.66382,-122.31297,False,,,98105,University District
79,79,Sharetea,coffee,(206) 632-1038,https://s3-media2.fl.yelpcdn.com/bphoto/Ir9-WaONyaMdCiB2-X7Fsw/o.jpg,$,4.00000,437,47.66134,-122.31626,False,,,98105,University District
106,106,Herkimer Coffee,coffee,(206) 525-5070,https://s3-media2.fl.yelpcdn.com/bphoto/GR6sk8byz_HqwNrKGs5VtA/o.jpg,$,4.50000,154,47.66987,-122.31339,False,,,98105,University District
135,135,Bulldog News,coffee,(206) 632-6397,https://s3-media2.fl.yelpcdn.com/bphoto/GSW94UlI5xuyosz3o-hdZw/o.jpg,$,4.50000,75,47.65856,-122.31312,False,,,98105,University District
155,155,WOW Bubble Tea,coffee,(206) 633-1229,https://s3-media4.fl.yelpcdn.com/bphoto/mvmzG2nmk5X22bVjH1y8Xg/o.jpg,$,4.00000,283,47.66284,-122.31326,False,,,98105,University District
224,224,Seven Coffee Roasters,coffee,(206) 517-5572,https://s3-media2.fl.yelpcdn.com/bphoto/3O1pHwB9Oki9DKV6vA6Ztg/o.jpg,$,4.50000,53,47.66908,-122.30603,False,,,98105,University District
252,252,Sureshot,coffee,(206) 632-3100,https://s3-media2.fl.yelpcdn.com/bphoto/oMjBNaAUGxyaXldpWv2Z0Q/o.jpg,$,4.00000,193,47.66148,-122.31346,False,,,98105,University District
313,313,Cafe Allegro,coffee,(206) 633-3030,https://s3-media2.fl.yelpcdn.com/bphoto/1cIyREe5BC9W_xW4lmwdaQ/o.jpg,$,4.00000,234,47.65877,-122.31287,False,,,98105,University District
345,345,Trinity Market,coffee,(206) 659-0934,https://s3-media1.fl.yelpcdn.com/bphoto/XQS_vcJpwFq32FQu5kikOw/o.jpg,$,4.00000,87,47.65973,-122.31828,False,,,98105,University District
374,374,Cafe Racer,coffee,(206) 523-5282,https://s3-media3.fl.yelpcdn.com/bphoto/TP9euRdRPZyu9Kt45-5U2w/o.jpg,$,3.50000,147,47.67143,-122.31705,False,,,98105,University District
400,400,Ly's Donuts,coffee,(206) 547-1633,https://s3-media1.fl.yelpcdn.com/bphoto/aTvxAo3_w7yhTYwO1M6FSA/o.jpg,$,3.50000,167,47.66106,-122.31737,False,,,98105,University District
405,405,Cowen Park Grocery,coffee,(206) 525-1117,https://s3-media3.fl.yelpcdn.com/bphoto/bO-jaaoTkkaJ2ygn4DATLg/o.jpg,$,4.00000,71,47.67126,-122.31488,False,,,98105,University District
